common_name,latin_name
Agrimony,Agrimonia eupatoria
Aloe,Aloe vera
American Ginseng,Panax quinquefolius
Angelica,Angelica archangelica
Aniseed,Pimpinella anisum
Arnica,Arnica montana
Arogyappacha,Trichopus zeylanicus
Artichoke,Cynara scolymus
Ashwaganda,Withania somnifera
Asian Devil’s Club,Echinopanax elatus
Aspen,Populus tremuloides
Balm Of Gilead,Populus candicans
Balmony,Chelone glabra
Balsam Of Peru,Myroxylon balsamum var. pereirae
Barberry,Berberis vulgaris
Bayberry,Myrica cerifera
Bearberry,Arctostaphylos uva-ursi
Birch,Betula spp.
Bistort,Polygonum bistorta
Black Catechu,Acacia catechu
Black Cohosh,Cimicifuga racemosa
Black Haw,Viburnum prunifolium
Black Haw,V . prunifolium
Black Root,Leptandra virginica
Blackberry,R. villosus
Bloodroot,Sanguinaria canadensis
Blue Cohosh,Caulophyllum thalictroides
Blue Flag,Iris versicolor
Bogbean,Menyanthes trifoliata
Boldo,Peumus boldus
Boneset,Eupatorium perfoliatum
Borage,Borago officinalis
Buchu,Agathosma betulina
Buckthorn,Rhamnus cathartica
Buckwheat,Fagopyrum esculentum
Bugleweed,Lycopus spp.
Burdock,Arctium lappa
Butternut,Juglans cinerea
Calendula,Calendula officinalis
California Poppy,Eschscholzia californica
Caraway,Carum carvi
Cardamom,Elettaria cardamomum
Cascara Sagrada,R. purshiana
Catnip,Nepeta cataria
Cayenne,Capsicum annuum
Celandine,Chelidonium majus
Celery Seed,Apium graveolens
Centaury,Centaurium erythraea
Chamomile,Matricaria recutita
Chaparral,Larrea tridentata
Chasteberry,Vitex agnus-castus
Chickpea,Cicer arietinum
Chickweed,Stellaria media
Cinnamon,Cinnamomum spp.
Cleavers,Galium aparine
Clove,Syzygium aromaticum
Coleus,Coleus forskohlii
Coltsfoot,Tussilago farfara
Comfrey,Symphytum officinale
Condurango,Marsdenia condurango
Coriander,Coriandrum sativum
Corn Silk,Zea mays
Couch Grass,Elymus repens
Cowslip,Primula veris
Cramp Bark,Viburnum opulus
Cranesbill,Geranium maculatum
Damiana,Turnera diffusa
Dandelion,Taraxacum officinale root
Dandelion,Taraxacum officinale
Dang Shen,Codonoposis pilosula
Devil’s Claw,Harpagophytum procumbens
Dill,Anethum graveolens
Echinacea,Echinacea spp.
Elder,Sambucus nigra
Elecampane,Inula helenium
English Daisy,Bellis perennis
Eucalyptus,Eucalyptus globulus
Eucalyptus,Eucalyptus spp.
Eyebright,Euphrasia spp.
Fennel,Foeniculum vulgare
Fenugreek,Trigonella foenum-graecum
Feverfew,Tanacetum parthenium
Figwort,Scrophularia nodosa
Flax,Linum usitatissimum
Fringetree,Chionanthus virginicus
Fumitory,Fumaria officinalis
Garlic,Allium sativum
Garlic,A.sativum
Gentian,Gentiana lutea
Ginger,Zingiber officinale
Ginkgo,Ginkgo biloba
Ginseng,Panax spp.
Goldenrod,Solidago virgaurea
Goldenseal,Hydrastis canadensis
Gravel Root,E.purpureum
Gravel Root,E. purpureum
Guaiacum,Guaiacum officinale
Guduchi,Tinospora cordifolia
Gumweed,Grindelia camporum
Hardy Rubber Tree,Eucommia ulmoides
Hawthorn,Crataegus spp.
Holy Basil,Ocimum sanctum
Hops,Humulus lupulus
Horehound,Marrubium vulgare
Horse Chestnut,Aesculus hippocastanum
Horseradish,Armoracia rusticana
Horsetail,Equisetum arvense
Hyssop,Hyssopus officinalis
Iceland Moss,Cetraria islandica
Ipecac,Cephaelis ipecacuanha
Irish Moss,Chondrus crispus
Jamaica Dogwood,Piscidia erythrina
Japanese Angelica Tree,Aralia elata
Juniper,Juniperus communis
Kava Kava,Piper methysticum
Kelp,Fucus vesiculosus
Kola,Cola acuminata
Korean Ginseng,Panax ginseng
Lady’s Mantle,Alchemilla arvensis
Lavender,Lavandula spp.
Lemon Balm,Melissa officinalis
Licorice,Glycyrrhiza glabra
Lily Of The Valley,Convallaria majalis
Linden,Tilia platyphyllos
Lobelia,Lobelia inflata
Lungwort,Pulmonaria officinalis
Mallow,Malva sylvestris
Manchurian Aralia,A. manshurica
Maral Root,Hoppea dichotoma Leuzea carthamoides
Marjoram,Origanum majorana
Marshmallow,Althaea officinalis
Meadowsweet,Filipendula ulmaria
Milk Thistle,Silybum marianum
Mistletoe,Viscum album
Motherwort,Leonurus cardiaca
Mouse Ear,Hieracium pilosella
Mugwort,Artemisia vulgaris
Mugwort,A. vulgaris
Mullein,Verbascum thapsus
Mustard,Brassica spp.
Myrrh,Commiphora molmol
Nasturtium,Tropaeolum majus
Nettles,Urtica dioica
Oak,Quercus spp.
Oat,Avena sativa
Olive,Olea europaea
Onion,Allium cepa
Oregon Grape,Mahonia aquifolium
Osha,Ligusticum porteri
Parsley,Petroselinum crispum
Partridgeberry,Mitchella repens
Pasqueflower,Pulsatilla vulgaris
Passionflower,Passiflora incarnata
Pellitory Of The Wall,Parietaria judaica
Pennyroyal,M. pulegium
Peppermint,Mentha piperita
Periwinkle,Vinca major
Plantain,Plantago major
Pleurisy Root,Asclepias tuberosa
Poke,Phytolacca americana
Prickly Ash,Zanthoxylum americanum
Pumpkin,Cucurbita pepo
Queen’s Delight,Stillingia sylvatica
Raspberry,Rubus idaeus
Red Clover,Trifolium pratense
Red Sage,Salvia officinalis var. rubia
Reishi Mushroom,Ganoderma lucidum
Rhubarb,Rheum palmatum
Rosemary,Rosmarinus officinalis
Roseroot Stonecrop,Rhodiola rosea
Rue,Ruta graveolens
Sage,Salvia officinalis
Sakhalin Spikenard,Aralia schmidtii
Sarsaparilla,Smilax spp.
Saw Palmetto,Serenoa repens
Schizandra,Schisandra chinensis
Scotch Broom,Cytisus scoparius
Sea Holly,Eryngium maritimum
Seneca Snakeroot,Polygala senega
Senna,Senna alexandrina
Shepherd’s Purse,Capsella bursa-pastoris
Siberian Ginseng,Eleutherococcus senticosus
Silk Tree,Albizzia julibrissin
Skullcap,Scutellaria lateriflora
Skunk Cabbage,Symplocarpus foetidus
Slippery Elm,Ulmus rubra
Southernwood,Artemisia abrotanum
Squill,Urginea maritima
St. John’s Wort,Hypericum perforatum
Stoneroot,Collinsonia canadensis
Sundew,Drosera rotundifolia
Sweet Violet,Viola odorata
Tansy,Tanacetum vulgare
Tansy,T. vulgare
Tea,Camellia sinensis
Thuja,Thuja occidentalis
Thyme,Thymus vulgaris
Thyme,Thymus spp.
Tolu Balsam,Myroxylon balsamum var. balsamum
Turmeric,Curcuma longa
Usnea,Usnea spp.
Valerian,Valeriana officinalis
Vervain,Verbena officinalis
Wahoo,Euonymus atropurpureus
Wild Carrot,Daucus carota
Wild Cherry Bark,Prunus serotina
Wild Indigo,Baptisia tinctoria
Wild Lettuce,Lactuca virosa
Wild Yam,Dioscorea villosa
Willow,Salix spp.
Wintergreen,Gaultheria procumbens
Witch Hazel,Hamamelis virginiana
Wood Betony,Stachys officinalis
Wormwood,A. absinthium
Wormwood,Artemisia absinthium
Wu Jia Pi,Acanthopanax sessiliflorum
Yarrow,Achillea millefolium
Yellow Dock,Rumex crispus
